Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2024,BMW,BMX,BMW,230i Coupe,8C99708,0,2.000,RBMXJ02.0M48,Both,255,,B48B20O1G42S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3750,2.81,24.0,1,Not eqipped,RBMX10080494,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0130692,0.2718946,255.2515051,0.0207015,,0.0025970,0.0010268,34.3,MPG,31.6897224,33.7879855,37.3362233,,-0.0383913,-0.1205439,-1.0045876,43.100,-0.11700,0.01980,14.100,0.12600,0.01706,,,N,,,N,No averaging
2024,BMW,BMX,BMW,230i Coupe,8C99708,0,2.000,RBMXJ02.0M48,Both,255,,B48B20O1G42S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3750,2.81,24.0,1,Not eqipped,RBMX10080495,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005790,0.0641030,172.3131782,0.0026225,,0.0000437,,50.9,MPG,,,,,1.9233412,1.6548267,-0.4830448,43.100,-0.11700,0.01980,14.100,0.12600,0.01706,,,N,,,N,No averaging
2024,BMW,BMX,BMW,230i xDrive Coupe,8C35761,1,2.000,RBMXV02.0M48,Car,255,4,B48B20O1G42X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,23.9,1,Not eqipped,RBMX10080950,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0115473,0.3395275,273.1146393,0.0279801,,0.0023865,0.0011699,32.0,MPG,30.0542659,31.5754676,34.6677226,,0.7104667,0.3581601,-0.2706259,55.700,-0.48900,0.02388,16.000,-0.29500,0.02011,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,230i xDrive Coupe,8C35761,1,2.000,RBMXV02.0M48,Car,255,4,B48B20O1G42X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,23.9,1,Not eqipped,RBMX10080953,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0061354,0.0711220,181.0704692,0.0042406,,0.0015153,,48.3,MPG,,,,,1.7702181,1.2518345,-0.5482723,55.700,-0.48900,0.02388,16.000,-0.29500,0.02011,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,230i xDrive Coupe,8C35761,1,2.000,RBMXV02.0M48,Car,255,4,B48B20O1G42X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,23.9,1,Not eqipped,RBMX10080954,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0114946,0.4113575,278.1715710,0.0243147,,0.0024417,0.0013507,31.4,MPG,29.2371769,30.8946950,34.5207257,,1.7692389,1.2591976,0.1662136,55.700,-0.48900,0.02388,16.000,-0.29500,0.02011,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075025,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.0366237,1.3297786,389.7266189,,,0.0068656,,22.4,MPG,16.4000000,24.7000000,24.9000000,,2.3249876,1.6662514,1.3094950,51.200,0.03600,0.01982,11.900,0.35600,0.01561,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075028,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0030048,1.0034834,471.2195336,0.0020132,,0.0027716,,18.7,MPG,,,,,0.1678028,-0.0649275,0.4441355,46.100,0.03300,0.01784,15.900,0.25800,0.01509,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075029,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0014415,0.1452481,293.2779755,0.0069051,,0.0006617,,30.1,MPG,19.4000000,35.6000000,,,-7.3565058,-4.8348697,-2.0926191,46.100,0.03300,0.01784,15.900,0.25800,0.01509,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075030,MFR,No,,,,,81,Charge Depleting UDDS,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,46.100,0.03300,0.01784,15.900,0.25800,0.01509,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075031,MFR,No,,,,,84,Charge Depleting Highway,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,46.100,0.03300,0.01784,15.900,0.25800,0.01509,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075081,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0104500,0.5793000,253.3888000,0.0017500,,0.0023900,0.0001100,34.8,MPG,25.8000000,44.7000000,29.0000000,46.4000000,0.1530000,0.0770000,-0.0350000,46.100,0.03300,0.01784,15.900,0.25800,0.01509,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e Sedan,FM00670,0,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10075082,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0002050,0.0320254,190.4000066,0.0025884,,0,,46.4,MPG,,,,,0.0423637,-0.1868767,0.0673244,46.100,0.03300,0.01784,15.900,0.25800,0.01509,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e xDrive Sedan,FM00680,1,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10074501,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0025934,1.7574886,492.8673951,0.0019386,,0.0022244,,17.8,MPG,,,,,-0.6685767,-0.1411526,0.1405013,59.500,-0.50700,0.02398,8.700,-0.01100,0.01802,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e xDrive Sedan,FM00680,1,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10074502,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.0265676,0.8872027,377.7717010,,,0.0049809,,23.1,MPG,17.1000000,24.4000000,27.8000000,,0.2865683,0.0684234,0.0512100,66.100,-0.56300,0.02665,0.300,-0.04200,0.01830,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e xDrive Sedan,FM00680,1,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10074509,MFR,No,,,,,81,Charge Depleting UDDS,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,59.500,-0.50700,0.02398,8.700,-0.01100,0.01802,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e xDrive Sedan,FM00680,1,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX10074511,MFR,No,,,,,84,Charge Depleting Highway,61,Tier 2 Cert Gasoline,CD,,,,,,,,,MPG,,,,,,,,59.500,-0.50700,0.02398,8.700,-0.01100,0.01802,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e xDrive Sedan,FM00680,1,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX91005115,EPA,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0010020,0.1539087,294.2496338,0.0093485,0.0002760,0.0006243,0,30.2,MPG,20.2613220,34.9926491,,,-2.0977256,-1.1530232,-0.9604596,59.500,-0.50700,0.02398,8.700,-0.01100,0.01802,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e xDrive Sedan,FM00680,1,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX91005116,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0004932,0,192.9428406,0.0022582,,0.0000993,0,46.0,MPG,,,,,6.5473895,5.3009143,0.6257566,59.500,-0.50700,0.02398,8.700,-0.01100,0.01802,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330e xDrive Sedan,FM00680,1,2.000,PBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,PBMX91005136,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0154457,0.6325353,275.3245850,0.0011384,,0.0019914,0.0000132,32.2,MPG,21.7223339,35.8822289,30.6768208,45.9169159,2.5907860,1.8644468,1.1542522,59.500,-0.50700,0.02398,8.700,-0.01100,0.01802,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330i Sedan,FM00689,0,2.000,PBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,PBMX10076007,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0063319,0.4061563,268.0063251,0.0025451,,0.0024360,0.0010429,32.9,MPG,30.9485398,32.0745975,36.1558821,,2.2463400,1.8204224,0.3737682,44.600,-0.12600,0.01891,19.500,0.16200,0.01487,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330i Sedan,FM00689,0,2.000,PBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,PBMX10076008,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0002279,0.0484963,174.9979795,0.0025463,,0.0000102,,50.4,MPG,,,,,0.5441753,0.2556612,-0.5803077,44.600,-0.12600,0.01891,19.500,0.16200,0.01487,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330i Sedan,FM00689,0,2.000,PBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,PBMX10076010,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0057168,0.2645867,263.6137963,0.0034233,,0.0016877,0.0011323,33.4,MPG,31.2431004,32.8029193,36.7335664,,1.4924948,0.6817256,-0.9643801,44.600,-0.12600,0.01891,19.500,0.16200,0.01487,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330i Sedan,FM00689,1,2.000,PBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,PBMX91005150,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0099180,0.5400698,283.7138062,0.0036097,0.0001406,0.0025903,0.0008490,31.2,MPG,28.6168880,30.9199886,34.0424652,,2.2327898,1.3008628,0.0709861,51.500,-0.10300,0.01938,21.400,0.28700,0.01502,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330i Sedan,FM00689,1,2.000,PBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,PBMX91005151,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0003530,0.0271690,192.2844238,0.0023721,,0.0060534,0.0000179,46.2,MPG,,,,,9.9680271,7.6427236,0.8044783,51.500,-0.10300,0.01938,21.400,0.28700,0.01502,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330i xDrive Sedan,FM00688,0,2.000,PBMXJ02.0B4X,Both,255,4,B4620O1-G20-X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,24.0,1,Not eqipped,PBMX10075987,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0064011,0.2482338,286.3600668,0.0025142,,0.0014329,0.0005203,30.8,MPG,30.2233876,30.8519363,31.1315246,,-0.7822432,-0.6710382,-1.7896872,49.100,-0.14900,0.02001,7.000,0.11100,0.01550,TWC,Three-way catalyst,N,,,N,No averaging
2024,BMW,BMX,BMW,330i xDrive Sedan,FM00688,0,2.000,PBMXJ02.0B4X,Both,255,4,B4620O1-G20-X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,24.0,1,Not eqipped,PBMX10075988,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.0002447,182.3254313,0.0023354,,0,,48.5,MPG,,,,,0.7195259,0.7611545,0.1071425,49.100,-0.14900,0.02001,7.000,0.11100,0.01550,TWC,Three-way catalyst,N,,,N,No averaging
